Timestamp,Longitude,Latitude,Operatorname,Operator,Cellname,Node,CellID,LAC,NetworkTech,Level,Qual,SNR,CQI,LTERSSI,ARFCN,PSC,Altitude,Distance,TA,BAND,SourceFile
2025.07.18_22.11.08,-17.436158,14.665338,Orange,60801,21,11,7000,4G,-81,-8.0,0.0,10.0,-73.0,2850,325,74,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.09,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-88,-10.0,0.0,,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.16,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-85,-10.0,0.0,,-75.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.18,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-84,-9.0,0.0,,-75.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.26,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-85,-8.0,0.0,,-77.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.36,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-90,-7.0,0.0,,-83.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.40,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.40,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.41,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.42,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.43,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,12.0,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.44,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,12.0,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.44,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-87,-8.0,0.0,12.0,-79.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.45,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-85,-8.0,0.0,13.0,-77.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.46,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-85,-8.0,0.0,13.0,-77.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.46,-17.436128,14.665348,Orange,60801,21,11,7000,4G,-85,-8.0,0.0,13.0,-77.0,2850,325,64,-1,0.0,L7,,Orange_log.txt
2025.07.18_22.11.47,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-67,-5.0,0.0,12.0,-63.0,1464,265,64,-1,,,,Orange_log.txt
2025.07.18_22.11.48,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-67,-5.0,0.0,12.0,-63.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.49,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-68,-6.0,0.0,12.0,-63.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.50,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-68,-6.0,0.0,12.0,-63.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.51,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-70,-6.0,0.0,11.0,-65.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.52,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-70,-6.0,0.0,11.0,-65.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.53,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-79,-11.0,0.0,8.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.54,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-79,-11.0,0.0,8.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.55,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-13.0,0.0,9.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.56,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-13.0,0.0,9.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.56,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-13.0,0.0,9.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.57,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-10.0,0.0,9.0,-71.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.58,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-10.0,0.0,9.0,-71.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.59,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-15.0,0.0,9.0,-67.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.11.59,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-15.0,0.0,9.0,-67.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.12.00,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-15.0,0.0,9.0,-67.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.12.01,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-13.0,0.0,9.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.12.02,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-13.0,0.0,9.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
2025.07.18_22.12.03,-17.436128,14.665348,Orange,60801,21,2,7000,4G,-81,-13.0,0.0,8.0,-69.0,1464,265,64,-1,0.0,L3,,Orange_log.txt
