Timestamp,Longitude,Latitude,Operatorname,Node,CellID,LAC,NetworkTech,Level,Qual,SNR,CQI,LTERSSI,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,SourceFile
2025.07.18_22.12.07,-17.436075,14.665363,Yas,1032,1,701,4G,-95,-9,0.0,,-85.0,141,137,146,3,0,14975,6232,24399,8519,Yas_log_datatest.txt
2025.07.18_22.14.25,-17.435423,14.665225,Yas,1059,1,701,4G,-88,-10,0.0,,-77.0,144,139,155,6,16,20084,6088,31330,8279,Yas_log_datatest.txt
2025.07.18_22.16.42,-17.43484,14.66467,Yas,1059,1,701,4G,-88,-11,0.0,,-77.0,143,139,146,2,0,17096,5763,24055,8633,Yas_log_datatest.txt
2025.07.18_22.19.00,-17.434735,14.663265,Yas,1059,1,701,4G,-89,-11,0.0,,-79.0,144,140,147,2,16,15575,6800,22218,8023,Yas_log_datatest.txt
2025.07.18_22.21.18,-17.434763,14.66254,Yas,1059,2,701,4G,-87,-9,0.0,,-71.0,180,140,334,77,16,0,4040,0,7913,Yas_log_datatest.txt
2025.07.18_22.23.35,-17.435755,14.662223,Yas,1059,2,701,4G,-93,-11,0.0,,-81.0,145,139,150,4,0,16774,5218,27480,7799,Yas_log_datatest.txt
2025.07.18_22.25.53,-17.436008,14.660725,Yas,1059,2,701,4G,-89,-11,0.0,,-81.0,183,137,341,79,0,18839,6694,29791,8519,Yas_log_datatest.txt
2025.07.18_22.28.11,-17.436287,14.65956,Yas,1033,1,701,4G,-82,-8,0.0,,-69.0,146,139,153,5,16,17382,6496,26528,8281,Yas_log_datatest.txt
2025.07.18_22.30.28,-17.437818,14.659502,Yas,1033,1,701,4G,-71,-7,0.0,,-63.0,141,134,146,5,0,14821,6673,21598,8126,Yas_log_datatest.txt
2025.07.18_22.32.46,-17.439397,14.659975,Yas,1630,12,701,4G,-73,-8,0.0,,-63.0,178,139,329,75,0,0,1,0,5,Yas_log_datatest.txt
2025.07.18_22.35.03,-17.438917,14.660852,Yas,1630,11,701,4G,-82,-6,0.0,,-75.0,143,140,145,2,0,0,0,0,0,Yas_log_datatest.txt
2025.07.18_22.37.20,-17.438957,14.66134,Yas,1630,11,701,4G,-72,-7,0.0,,-65.0,185,141,339,77,0,0,0,0,3,Yas_log_datatest.txt
2025.07.18_22.39.38,-17.439622,14.661998,Yas,1630,11,701,4G,-82,-10,0.0,,-65.0,144,138,155,6,0,3,0,16,0,Yas_log_datatest.txt
2025.07.18_22.41.55,-17.439618,14.663305,Yas,1630,13,701,4G,-72,-12,0.0,,-59.0,145,134,154,8,0,4,0,21,0,Yas_log_datatest.txt
