Timestamp,Longitude,Latitude,Operatorname,Node,CellID,LAC,NetworkTech,Level,Qual,SNR,CQI,LTERSSI,EventType,EventDetails,State,SourceFile
2025.07.18_22.12.48,-17.436152,14.66539,expresso,2,10222,3000,3G,-81.0,-5.0,,,,START PING,I,,expresso_log_events.txt
2025.07.18_22.12.54,-17.436152,14.66539,expresso,2,10222,3000,3G,-77.0,-6.0,,,,START UPLOAD,D,,expresso_log_events.txt
2025.07.18_22.13.07,-17.436152,14.66539,expresso,2,10222,3000,3G,-65.0,-3.0,,,,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.13.50,-17.435869,14.665326,expresso,2,10222,3000,3G,-61.0,-4.0,,,,CALL_START,608-03-3000-2-10222 VOICE SEQUENCE:1,I,expresso_log_events.txt
2025.07.18_22.14.35,-17.435695,14.665253,expresso,2,10222,3000,3G,-53.0,-3.0,,,,CALL_END,608-03-3000-2-10222 VOICE SEQUENCE:1,V,expresso_log_events.txt
2025.07.18_22.15.08,-17.435501,14.665263,expresso,2,10222,3000,3G,-63.0,-5.0,,,,START PING,VD,,expresso_log_events.txt
2025.07.18_22.15.10,-17.435501,14.665263,expresso,2,10222,3000,3G,-61.0,-6.0,,,,CALL_END,608-03-3000-2-10222,D,expresso_log_events.txt
2025.07.18_22.15.13,-17.435501,14.665263,expresso,2,10222,3000,3G,-59.0,-6.0,,,,START UPLOAD,D,,expresso_log_events.txt
2025.07.18_22.15.26,-17.435501,14.665263,expresso,2,10222,3000,3G,-63.0,-3.0,,,,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.16.08,-17.43532,14.665209,expresso,2,10222,3000,3G,-65.0,-3.0,,,,CALL_START,608-03-3000-2-10222 VOICE SEQUENCE:2,I,expresso_log_events.txt
2025.07.18_22.16.53,-17.435041,14.665126,expresso,2,10222,3000,3G,-69.0,,,,,CALL_END,608-03-3000-2-10222 VOICE SEQUENCE:2,V,expresso_log_events.txt
2025.07.18_22.17.26,-17.43487,14.664841,expresso,2,10222,3000,3G,-75.0,-3.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.17.28,-17.43487,14.664841,expresso,2,10222,3000,3G,-71.0,-2.0,,,,CALL_END,608-03-3000-2-10222,D,expresso_log_events.txt
2025.07.18_22.17.30,-17.43487,14.664841,expresso,2,10222,3000,3G,-73.0,-2.0,,,,START UPLOAD,D,,expresso_log_events.txt
2025.07.18_22.17.43,-17.434852,14.664747,expresso,2,10222,3000,3G,-75.0,-3.0,,,,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.18.25,-17.434815,14.664262,expresso,2,10222,3000,3G,-65.0,-3.0,,,,CALL_START,608-03-3000-2-10222 VOICE SEQUENCE:3,I,expresso_log_events.txt
2025.07.18_22.19.10,-17.43479,14.663881,expresso,2,10222,3000,3G,-51.0,-2.0,,,,CALL_END,608-03-3000-2-10222 VOICE SEQUENCE:3,V,expresso_log_events.txt
2025.07.18_22.19.43,-17.434754,14.663512,expresso,2,10222,3000,3G,-63.0,-2.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.19.45,-17.434754,14.663512,expresso,2,10222,3000,3G,-67.0,-2.0,,,,CALL_END,608-03-3000-2-10222,D,expresso_log_events.txt
2025.07.18_22.19.48,-17.434754,14.663512,expresso,2,10222,3000,3G,-67.0,-2.0,,,,START UPLOAD,D,,expresso_log_events.txt
2025.07.18_22.20.01,-17.434738,14.663414,expresso,2,10222,3000,3G,-59.0,-2.0,,,,START DOWNLOAD,D,,expresso_log_events.txt
2025.07.18_22.20.43,-17.434739,14.66304,expresso,2,10222,3000,3G,-69.0,-3.0,,,,CALL_START,608-03-3000-2-10222 VOICE SEQUENCE:4,I,expresso_log_events.txt
2025.07.18_22.21.23,-17.43464,14.662571,expresso,2,10171,3000,3G,-69.0,-3.0,,,,HANDOVER_VOICE_3G3G,608-03-3000-2-10222-10637-145:608-03-3000-2-10171-10637-145,V,expresso_log_events.txt
2025.07.18_22.21.28,-17.43464,14.662571,expresso,2,10171,3000,3G,-61.0,-2.0,,,,CALL_END,608-03-3000-2-10171 VOICE SEQUENCE:4,V,expresso_log_events.txt
2025.07.18_22.22.01,-17.43464,14.662571,expresso,2,10171,3000,3G,-67.0,-2.0,,,,START PING,V,,expresso_log_events.txt
2025.07.18_22.22.02,-17.43464,14.662571,expresso,2,10171,3000,3G,-73.0,-2.0,,,,CALL_END,608-03-3000-2-10171,D,expresso_log_events.txt
