Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.07.18_22.12.09	-17.436128	14.665348	Orange	21	11	7000	4G	-93	-13	0.0	10	-81	78	72	89	6	0	35925	8825	38078	8990
2025.07.18_22.14.29	-17.435423	14.66527	Orange	21	25	7000	4G	-86	-11	0.0	14	-75	138	132	147	5	0	23931	61	30133	70
2025.07.18_22.16.48	-17.434872	14.664607	Orange	281	7	7000	4G	-74	-15	0.0	9	-59	74	57	99	19	0	43066	3655	63237	3978
2025.07.18_22.19.07	-17.43472	14.66318	Orange	281	13	7000	4G	-74	-14	0.0	10	-61	66	58	76	6	0	42183	4356	58350	4356
2025.07.18_22.21.27	-17.434757	14.662525	Orange	8	14952	9000	3G	-24	-	-	-	-	117	111	123	5	0	1	52	1	57
2025.07.18_22.23.47	-17.43578	14.662112	Orange	281	5	7000	4G	-75	-11	0.0	9	-65	253	109	762	255	0	36094	4774	39977	4967
2025.07.18_22.26.06	-17.436028	14.660533	Orange	8	23092	9000	3G	-24	-	-	-	-	119	109	133	9	0	1	59	1	68
2025.07.18_22.28.25	-17.436443	14.659452	Orange	8	60958	9000	3G	-24	-	-	-	-	225	217	232	6	0	0	61	1	68
2025.07.18_22.30.45	-17.43807	14.65951	Orange	8	2	9000	3G	-24	-	-	-	-	210	188	242	21	0	1	59	2	68
2025.07.18_22.33.10	-17.439422	14.660057	Orange	57	2	7000	4G	-72	-8	0.0	11	-65	4590	3227	6245	995	54	16508	50	31661	73
2025.07.18_22.35.30	-17.43885	14.661038	Orange	57	2	7000	4G	-73	-10	0.0	7	-63	302	135	603	200	0	41621	1345	55370	2416
2025.07.18_22.37.50	-17.439168	14.661535	Orange	8	36872	9000	3G	-24	-	-	-	-	125	110	141	11	0	1	45	1	52
