Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.11.40	-17.436128	14.665348	Orange	21	11	7000	4G	-87	-8	0.0	-	-79		START PING	I
2025.07.18_22.11.46	-17.436128	14.665348	Orange	21	11	7000	4G	-85	-8	0.0	13	-77		START UPLOAD	D
2025.07.18_22.11.47	-17.436128	14.665348	Orange	21	2	7000	4G	-67	-5	0.0	12	-63	HANDOVER_DATA_4G4G	608-01-7000-21-11-2850-325:608-01-7000-21-2-1464-265	D
2025.07.18_22.11.59	-17.436128	14.665348	Orange	21	2	7000	4G	-81	-15	0.0	9	-67		START DOWNLOAD	D
2025.07.18_22.12.05	-17.436128	14.665348	Orange	21	11	7000	4G	-89	-14	0.0	11	-75	HANDOVER_DATA_4G4G	608-01-7000-21-2-1464-265:608-01-7000-21-11-2850-325	D
2025.07.18_22.12.41	-17.435952	14.665327	Orange	21	11	7000	4G	-93	-13	0.0	-	-81	CALL_START	608-01-7000-21-11 VOICE SEQUENCE:1	I
2025.07.18_22.12.48	-17.435857	14.665325	Orange	8	18892	9000	3G	-24	-	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-01-7000-21-11-2850-325:608-01-9000-8-18892-3019-398	VD
2025.07.18_22.12.48	-17.435857	14.665325	Orange	8	18892	9000	3G	-24	-	-	-	-	CSFB_4G3G	7121	VD
2025.07.18_22.12.59	-17.435768	14.66529	Orange	8	36582	9000	3G	-24	-	-	-	-	HANDOVER_VOICE_3G3G	608-01-9000-8-18892-3019-398:608-01-9000-8-36582-10612-398	VD
2025.07.18_22.13.26	-17.435768	14.66529	Orange	8	36582	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-36582 VOICE SEQUENCE:1	V
2025.07.18_22.13.59	-17.435508	14.665233	Orange	8	36582	9000	3G	-24	-	-	-	-		START PING	V
2025.07.18_22.14.06	-17.435508	14.665233	Orange	8	36582	9000	3G	-24	-	-	-	-		START UPLOAD	VD
2025.07.18_22.14.16	-17.435423	14.66527	Orange	8	36582	9000	3G	-24	-	-	-	-	CALL_END	608-01-9000-8-36582	D
2025.07.18_22.14.17	-17.435423	14.66527	Orange	281	4	7000	4G	-164	-	0.0	-	-113	IRAT_HANDOVER_DATA_3G4G	608-01-9000-8-36582-10612-398:608-01-7000-281-4-1464-174	D
