Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.11.34	-17.436165	14.665338	Yas		0	0	2G	-113	-	-	-	-	IRAT_CELL_RESELECTION_4G2G	608-02-701-1032-1-1850-132:608-02-0--0-0-0	D
2025.07.18_22.11.36	-17.436165	14.665338	Yas	1032	1	701	4G	-99	-9	0.0	-	-89	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1032-1-1850-132	D
2025.07.18_22.11.39	-17.436165	14.665338	Yas	1032	1	701	4G	-98	-10	0.0	-	-91		START PING	D
2025.07.18_22.11.44	-17.436165	14.665338	Yas	1032	1	701	4G	-98	-11	0.0	-	-91		START UPLOAD	D
2025.07.18_22.11.57	-17.436165	14.665338	Yas	1032	1	701	4G	-96	-12	0.0	-	-87		START DOWNLOAD	D
2025.07.18_22.12.09	-17.436075	14.665363	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1032-1-1850-132:608-02-0--0-0-0	D
2025.07.18_22.12.12	-17.436075	14.665363	Yas	1059	1	701	4G	-95	-11	0.0	-	-85	IRAT_CELL_RESELECTION_2G4G	608-02-0--0-0-0:608-02-701-1059-1-1850-459	I
2025.07.18_22.12.39	-17.435885	14.665333	Yas	1059	1	701	4G	-92	-10	0.0	-	-87	CALL_START	608-02-701-1059-1 VOICE SEQUENCE:1	D
2025.07.18_22.12.47	-17.43579	14.66529	Yas	5	10593	43	3G	-75	-5	-	-	-	IRAT_HANDOVER_VOICE_4G3G	608-02-701-1059-1-1850-459:608-02-43-5-10593-3060-429	VD
2025.07.18_22.12.47	-17.43579	14.66529	Yas	5	10593	43	3G	-75	-5	-	-	-	CSFB_4G3G	7773	VD
2025.07.18_22.13.24	-17.435715	14.665237	Yas	5	10593	43	3G	-75	-5	-	-	-	CALL_END	608-02-43-5-10593 VOICE SEQUENCE:1	V
2025.07.18_22.13.49	-17.435542	14.665195	Yas	5	10593	43	3G	-81	-7	-	-	-	CALL_END	608-02-43-5-10593	I
2025.07.18_22.13.51	-17.435542	14.665195	Yas	0	0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_3G2G	608-02-43-5-10593-3060-429:608-02-0-0-0-0-0	D
2025.07.18_22.13.54	-17.435542	14.665195	Yas	1059	1	701	4G	-83	-8	0.0	-	-79	IRAT_CELL_RESELECTION_2G4G	608-02-0-0-0-0-0:608-02-701-1059-1-1850-459	D
