Timestamp	Longitude	Latitude	Operatorname	Operator	Cellname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	ARFCN	PSC	Altitude	Distance	TA	BAND
2025.07.18_22.12.21	-17.436158	14.665392	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	67	-1		U1	
2025.07.18_22.12.21	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-71	-3	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.27	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-71	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.29	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.40	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-4	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.48	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.49	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.50	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-81	-5	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.51	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.52	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.52	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.53	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.54	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.54	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.55	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.56	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-77	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.57	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
2025.07.18_22.12.58	-17.436152	14.66539	expresso	60803		2	10222	3000	3G	-75	-6	-	-	-	10637	145	66	-1		U1	
