Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.07.18_22.13.17	-17.436055	14.665377	expresso	2	10222	3000	3G	-61	-5	-	-	-	90	81	99	8	0	17835	3151	24108	3376
2025.07.18_22.15.36	-17.435408	14.665243	expresso	2	10222	3000	3G	-65	-4	-	-	-	100	92	108	6	0	19477	3101	28071	3811
2025.07.18_22.17.53	-17.434829	14.664653	expresso	2	10222	3000	3G	-71	-7	-	-	-	105	92	119	9	0	15080	1712	20325	2076
2025.07.18_22.20.11	-17.434717	14.663228	expresso	2	10222	3000	3G	-59	-4	-	-	-	99	94	109	5	0	15646	3128	19354	3478
2025.07.18_22.22.28	-17.434793	14.662514	expresso	2	10171	3000	3G	-69	-9	-	-	-	106	96	115	7	0	5162	2096	7732	2622
2025.07.18_22.25.04	-17.435795	14.662065	expresso	1022	5	4112	4G	-91	-9	8.0	-	-63	114	111	119	4	92	16187	0	21008	0
2025.07.18_22.27.19	-17.436028	14.660583	expresso	1207	1	4112	4G	-93	-11	2.0	-	-65						10182	3556	13218	5701
2025.07.18_22.29.35	-17.43645	14.659501		1207	4	4112	4G	-95	-10	7.0	-	-67						0	0	0	0
2025.07.18_22.31.50	-17.437981	14.659535		1171	5	4112	4G	-91	-9	6.0	-	-63						0	0	0	0
2025.07.18_22.34.06	-17.439456	14.660018	expresso	1171	5	4112	4G	-73	-9	9.0	-	-51						19502	0	24076	0
2025.07.18_22.36.22	-17.438914	14.660898	expresso	1171	5	4112	4G	-71	-7	16.0	-	-51						26	0	130	0
2025.07.18_22.38.40	-17.438995	14.661355		1171	5	4112	4G	-62	-10	9.0	-	-51	98	84	138	20	0	0	0	0	0
2025.07.18_22.40.58	-17.439647	14.662041	expresso	1171	4	4112	4G	-78	-10	6.0	-	-51	171	69	511	171	0	25584	8120	38254	10104
2025.07.18_22.43.16	-17.439567	14.663352	expresso	1171	4	4112	4G	-70	-7	22.0	-	-51	179	85	528	175	16	65917	9505	79863	10124
2025.07.18_22.45.34	-17.438136	14.663067	expresso	1171	4	4112	4G	-90	-10	5.0	-	-61	135	90	298	82	0	8318	6462	8736	8279
2025.07.18_22.47.54	-17.437676	14.66362	expresso	1022	2	4112	4G	-88	-16	1.0	-	-55	94	65	136	30	44	10967	5915	16915	8696
2025.07.18_22.50.12	-17.438096	14.664778	expresso	2	10229	3000	3G	-79	-3	-	-	-	100	89	125	13	0		8		15
2025.07.18_22.51.47	-17.438387	14.665588	expresso	2	10226	3000	3G	-83	-6	-	-	-						0	0	0	0
2025.07.18_22.54.03	-17.438287	14.66604	expresso	2	10385	3000	3G	-75	-7	-	-	-						0	0	0	0
2025.07.18_22.56.19	-17.437393	14.666333	expresso	2	10223	3000	3G	-81	-7	-	-	-						0	0	0	0
2025.07.18_22.58.36	-17.437014	14.666316	expresso	2	10682	3000	3G	-75	-4	-	-	-						0	0	0	0
2025.07.18_23.00.51	-17.437014	14.666316	expresso	2	10682	3000	3G	-81	-7	-	-	-						0	0	0	0
2025.07.18_23.03.09	-17.436042	14.666334	expresso	1022	4	4112	4G	-91	-11	7.0	-	-61						29138	0	41559	0
2025.07.18_23.05.27	-17.435236	14.666482	expresso	1022	4	4112	4G	-84	-10	14.0	-	-57	156	150	159	3	0	57257	4237	72152	7108
2025.07.18_23.07.43	-17.433782	14.666546	expresso	1022	4	4112	4G	-94	-9	9.0	-	-67						50041	2617	55512	4909
2025.07.18_23.10.13	-17.432589	14.667353	expresso	1033	6	4112	4G	-73	-9	12.0	-	-51	118	75	189	48	82	14380	6674	17208	7763
2025.07.18_23.12.29	-17.432293	14.668114		1033	6	4112	4G	-74	-7	17.0	-	-51						0	0	0	0
2025.07.18_23.14.46	-17.431645	14.668479	expresso	2	10332	3000	3G	-59	-5	-	-	-						0	0	0	0
