Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.12.48	-17.436152	14.66539	expresso	2	10222	3000	3G	-81	-5	-	-	-		START PING	I
2025.07.18_22.12.54	-17.436152	14.66539	expresso	2	10222	3000	3G	-77	-6	-	-	-		START UPLOAD	D
2025.07.18_22.13.07	-17.436152	14.66539	expresso	2	10222	3000	3G	-65	-3	-	-	-		START DOWNLOAD	D
2025.07.18_22.13.50	-17.435869	14.665326	expresso	2	10222	3000	3G	-61	-4	-	-	-	CALL_START	608-03-3000-2-10222 VOICE SEQUENCE:1	I
2025.07.18_22.14.35	-17.435695	14.665253	expresso	2	10222	3000	3G	-53	-3	-	-	-	CALL_END	608-03-3000-2-10222 VOICE SEQUENCE:1	V
2025.07.18_22.15.08	-17.435501	14.665263	expresso	2	10222	3000	3G	-63	-5	-	-	-		START PING	VD
2025.07.18_22.15.10	-17.435501	14.665263	expresso	2	10222	3000	3G	-61	-6	-	-	-	CALL_END	608-03-3000-2-10222	D
2025.07.18_22.15.13	-17.435501	14.665263	expresso	2	10222	3000	3G	-59	-6	-	-	-		START UPLOAD	D
2025.07.18_22.15.26	-17.435501	14.665263	expresso	2	10222	3000	3G	-63	-3	-	-	-		START DOWNLOAD	D
2025.07.18_22.16.08	-17.43532	14.665209	expresso	2	10222	3000	3G	-65	-3	-	-	-	CALL_START	608-03-3000-2-10222 VOICE SEQUENCE:2	I
2025.07.18_22.16.53	-17.435041	14.665126	expresso	2	10222	3000	3G	-69	-	-	-	-	CALL_END	608-03-3000-2-10222 VOICE SEQUENCE:2	V
2025.07.18_22.17.26	-17.43487	14.664841	expresso	2	10222	3000	3G	-75	-3	-	-	-		START PING	V
2025.07.18_22.17.28	-17.43487	14.664841	expresso	2	10222	3000	3G	-71	-2	-	-	-	CALL_END	608-03-3000-2-10222	D
2025.07.18_22.17.30	-17.43487	14.664841	expresso	2	10222	3000	3G	-73	-2	-	-	-		START UPLOAD	D
2025.07.18_22.17.43	-17.434852	14.664747	expresso	2	10222	3000	3G	-75	-3	-	-	-		START DOWNLOAD	D
2025.07.18_22.18.25	-17.434815	14.664262	expresso	2	10222	3000	3G	-65	-3	-	-	-	CALL_START	608-03-3000-2-10222 VOICE SEQUENCE:3	I
